name,version,platform,bundleId,developerName,classification,securityRisk,privacyRisk,deviceCount,created
SmartThings,1.8.01.22,android,com.samsung.android.oneconnect,,LEGIT,,,0,Wed Jan 03 09:02:37 GMT 2024
Web,22.05.0.4,android,com.airwatch.browser,Unknown,LEGIT,,,0,Wed Jan 03 09:02:31 GMT 2024
Adobe Acrobat,22.9.1.24121,android,com.adobe.reader,Adobe Systems Incorporated,LEGIT,,,0,Wed Jan 03 09:02:31 GMT 2024
Google Play Store,38.8.28-29 [0] [PR] 592366865,android,com.android.vending,Android,LEGIT,,,1,Mon Jan 08 13:18:20 GMT 2024
Samsung Internet,14.2.1.69,android,com.sec.android.app.sbrowser,Samsung Cert,LEGIT,,,0,Wed Jan 03 09:02:31 GMT 2024
Knox Service Plugin,1.4.24 (23.09),android,com.samsung.android.knox.kpu,Samsung Cert,LEGIT,,,1,Wed Jan 03 10:19:17 GMT 2024
Knox E-FOTA,1.1.70.2,android,com.samsung.android.knox.efota,Samsung Cert,LEGIT,,,1,Wed Jan 03 10:19:17 GMT 2024
Boxer,22.09.0.1,android,com.boxer.email,Daniel Ochoa,LEGIT,,,1,Wed Jan 03 10:19:17 GMT 2024
SEP Mobile,4.7.4,android,com.skycure.skycure,Skycure Ltd.,LEGIT,,,1,Wed Jan 03 10:19:17 GMT 2024
MTD,5.2.16,android,com.zimperium.zips,,LEGIT,,,1,Thu Jan 04 13:22:32 GMT 2024
